,0,1,2,3,4
e6509339,0.0,1.0,0.0,1.0,0.0
e6586349,1.0,0.0,0.0,1.0,0.0
e91978,0.0,0.0,0.0,1.0,0.0
e6793085,1.0,0.0,0.0,0.0,0.0
e6788877,1.0,0.0,0.0,0.0,0.0
e7533317,0.0,0.0,0.0,0.0,1.0
e7136271,0.0,0.0,1.0,0.0,1.0
e90984,1.0,0.0,1.0,0.0,0.0
e7509775,1.0,0.0,0.0,0.0,0.0
e6718197,0.0,0.0,0.0,1.0,0.0
e6643063,0.0,0.0,0.0,0.0,1.0
e6814021,0.0,0.0,1.0,0.0,0.0
e7261585,0.0,0.0,1.0,0.0,1.0
e7625915,1.0,1.0,1.0,1.0,1.0
e7302681,0.0,1.0,0.0,1.0,0.0
e105572,0.0,0.0,1.0,0.0,1.0
e6601941,0.0,0.0,1.0,0.0,1.0
e6651945,1.0,0.0,0.0,0.0,0.0
e6823737,1.0,0.0,1.0,0.0,0.0
e118172,1.0,1.0,0.0,0.0,0.0
e6458295,0.0,0.0,0.0,1.0,0.0
e7416461,0.0,1.0,1.0,1.0,1.0
e7012085,0.0,1.0,0.0,0.0,0.0
e7621669,1.0,0.0,1.0,0.0,1.0
e6762943,0.0,0.0,0.0,1.0,0.0
e7563143,1.0,0.0,1.0,0.0,1.0
e19684,1.0,0.0,0.0,0.0,0.0
e19686,0.0,0.0,1.0,0.0,0.0
e7630853,1.0,1.0,1.0,1.0,1.0
e6611881,0.0,1.0,1.0,1.0,0.0
e7493717,0.0,0.0,1.0,1.0,0.0
e7503351,0.0,1.0,0.0,0.0,0.0
e7460867,1.0,1.0,0.0,0.0,0.0
e7603023,1.0,1.0,1.0,1.0,1.0
e1144,0.0,0.0,0.0,0.0,1.0
e6250579,1.0,0.0,0.0,0.0,0.0
e1146,0.0,0.0,0.0,0.0,1.0
e7258367,1.0,0.0,1.0,0.0,0.0
e6790957,0.0,0.0,1.0,0.0,0.0
e7485171,1.0,0.0,0.0,0.0,0.0
e6234702,0.0,0.0,1.0,0.0,0.0
e6817061,0.0,0.0,0.0,1.0,0.0
e7632267,0.0,0.0,0.0,1.0,0.0
