,0,1,2
e5403174,1.0,0.0,1.0
e5588434,1.0,1.0,1.0
e5228460,1.0,1.0,0.0
e5531758,1.0,1.0,0.0
e127704,0.0,0.0,0.0
e5588518,1.0,1.0,1.0
e5220798,0.0,0.0,1.0
e5507914,1.0,1.0,0.0
e5210070,0.0,1.0,0.0
e131296,0.0,0.0,0.0
e5604028,1.0,1.0,1.0
e5586282,1.0,1.0,1.0
e5484026,1.0,0.0,1.0
e5499278,0.0,1.0,0.0
e5603204,1.0,1.0,1.0
e5598250,1.0,1.0,1.0
e173912,0.0,0.0,0.0
e5592788,1.0,0.0,1.0
e5595174,0.0,1.0,0.0
e102714,0.0,0.0,1.0
e5260758,0.0,1.0,0.0
e5538292,1.0,0.0,0.0
e5307788,1.0,1.0,0.0
e5596276,0.0,1.0,0.0
e5014028,1.0,0.0,0.0
e5543714,1.0,0.0,1.0
e4959070,1.0,0.0,0.0
e5333592,1.0,1.0,0.0
e5601360,1.0,1.0,0.0
e5454142,1.0,0.0,1.0
e5367802,0.0,1.0,1.0
e5307474,0.0,0.0,1.0
e5597718,1.0,1.0,1.0
e5544048,0.0,1.0,0.0
e5219220,0.0,1.0,0.0
e5549426,1.0,1.0,0.0
e5587064,0.0,1.0,0.0
e5379892,1.0,0.0,1.0
e5577454,1.0,1.0,1.0
e5580634,1.0,0.0,1.0
e5393996,0.0,1.0,0.0
e5603210,1.0,1.0,1.0
e5549336,1.0,0.0,0.0
e5322176,1.0,1.0,0.0
e5410950,1.0,0.0,1.0
e5329046,0.0,1.0,0.0
e5486206,0.0,0.0,1.0
e5484626,1.0,1.0,0.0
e5493612,1.0,1.0,1.0
e5182578,0.0,0.0,1.0
e5463824,1.0,1.0,0.0
e5606500,0.0,1.0,0.0
e5607560,1.0,0.0,1.0
e5451414,1.0,0.0,1.0
e5536216,0.0,1.0,0.0
e5600144,1.0,1.0,1.0
e5510780,1.0,1.0,1.0
e5172340,1.0,0.0,0.0
e5534542,0.0,1.0,0.0
e5545868,1.0,0.0,1.0
e5598360,1.0,0.0,1.0
e5600146,0.0,1.0,1.0
e4833160,1.0,0.0,0.0
e110802,1.0,1.0,1.0
e5592198,1.0,0.0,1.0
e5195536,0.0,0.0,0.0
e5537608,0.0,1.0,0.0
e175268,0.0,0.0,1.0
e5230318,1.0,0.0,0.0
e5601426,0.0,1.0,1.0
e5232340,0.0,0.0,1.0
e5589772,1.0,0.0,0.0
e131904,1.0,0.0,0.0
e131906,1.0,0.0,0.0
e5493584,1.0,1.0,1.0
e5193524,0.0,0.0,1.0
e5604914,0.0,1.0,1.0
e5209072,0.0,1.0,0.0
e5510520,1.0,0.0,1.0
e5430046,1.0,0.0,0.0
e5441920,0.0,1.0,1.0
e5135670,0.0,0.0,1.0
