,0,1,2,3
e7122192,0.0,1.0,1.0,1.0
e6487564,0.0,0.0,1.0,0.0
e6990954,1.0,0.0,0.0,0.0
e7134870,1.0,0.0,1.0,0.0
e5973608,1.0,0.0,0.0,0.0
e7096652,0.0,1.0,1.0,1.0
e5979204,0.0,0.0,0.0,1.0
e7126558,0.0,1.0,1.0,1.0
e7136482,1.0,1.0,1.0,1.0
e6999044,0.0,1.0,0.0,0.0
e7016974,1.0,0.0,0.0,0.0
e7111516,1.0,0.0,0.0,1.0
e7000214,0.0,0.0,0.0,1.0
e6796366,0.0,1.0,1.0,0.0
e1060,0.0,0.0,1.0,0.0
e6538708,0.0,0.0,1.0,0.0
e1062,0.0,0.0,1.0,0.0
e6736976,0.0,1.0,0.0,1.0
e6544802,0.0,1.0,0.0,0.0
e6998030,0.0,0.0,0.0,1.0
e6124130,0.0,1.0,1.0,0.0
e6336096,1.0,0.0,0.0,1.0
e6860330,1.0,1.0,1.0,1.0
e7130094,1.0,1.0,1.0,1.0
e7056818,0.0,1.0,1.0,0.0
e7076550,0.0,1.0,1.0,1.0
e7132462,1.0,1.0,1.0,1.0
e7002456,0.0,0.0,1.0,1.0
e79806,0.0,1.0,0.0,0.0
e7017808,0.0,0.0,1.0,0.0
e83732,0.0,0.0,1.0,0.0
e83734,0.0,1.0,0.0,0.0
e7053754,1.0,0.0,1.0,1.0
e6926066,1.0,0.0,0.0,1.0
e7019756,0.0,0.0,1.0,0.0
e6389494,1.0,0.0,0.0,1.0
e7126596,1.0,1.0,1.0,1.0
e5936104,0.0,0.0,0.0,1.0
e7718,1.0,0.0,0.0,0.0
e7720,1.0,0.0,0.0,0.0
e7102076,1.0,1.0,1.0,1.0
e6643350,0.0,1.0,1.0,0.0
e7116796,1.0,1.0,1.0,1.0
e6473634,1.0,0.0,0.0,0.0
e6884382,1.0,0.0,1.0,0.0
e58002,1.0,0.0,0.0,1.0
e58004,0.0,0.0,1.0,1.0
e7109476,1.0,1.0,1.0,1.0
e6919864,1.0,0.0,1.0,1.0
e7087892,1.0,1.0,1.0,1.0
e6516364,1.0,0.0,0.0,0.0
e6524516,0.0,0.0,0.0,1.0
e62038,1.0,0.0,0.0,0.0
e7013592,0.0,0.0,0.0,1.0
e6733016,1.0,0.0,0.0,1.0
e7130080,0.0,1.0,1.0,0.0
e7013360,1.0,0.0,0.0,1.0
e7013362,0.0,1.0,1.0,0.0
e6421574,0.0,0.0,1.0,0.0
e6451922,0.0,1.0,0.0,0.0
e6962042,0.0,1.0,1.0,0.0
e6779242,1.0,1.0,0.0,0.0
e6271322,1.0,0.0,0.0,0.0
e6316968,1.0,1.0,1.0,0.0
e59540,0.0,0.0,0.0,1.0
e6412252,1.0,0.0,0.0,0.0
e7140,0.0,1.0,1.0,1.0
e7050616,1.0,0.0,0.0,0.0
e6336628,0.0,0.0,0.0,1.0
e6849964,0.0,0.0,1.0,1.0
e7135272,0.0,1.0,1.0,1.0
e7131362,1.0,1.0,1.0,1.0
e17482,0.0,1.0,0.0,0.0
e7106952,1.0,0.0,0.0,0.0
e7119216,0.0,1.0,1.0,1.0
e7066966,0.0,1.0,1.0,0.0
e6909076,1.0,0.0,1.0,0.0
e80620,0.0,0.0,1.0,0.0
e6617868,1.0,1.0,1.0,0.0
e6837404,0.0,0.0,0.0,1.0
e7013486,0.0,0.0,0.0,1.0
e7093596,0.0,1.0,1.0,1.0
e7042488,1.0,1.0,1.0,1.0
e7072170,1.0,0.0,1.0,0.0
e7079674,1.0,1.0,1.0,0.0
e6581172,1.0,0.0,0.0,0.0
e6921156,0.0,1.0,1.0,0.0
e38320,0.0,0.0,0.0,1.0
e96612,0.0,1.0,0.0,0.0
e13858,1.0,1.0,1.0,1.0
e6525976,0.0,1.0,0.0,0.0
e7133084,1.0,1.0,1.0,0.0
e7082264,1.0,1.0,1.0,1.0
e6528990,1.0,0.0,0.0,0.0
e6561200,0.0,0.0,1.0,0.0
e6912214,0.0,1.0,0.0,1.0
e6923140,0.0,1.0,1.0,1.0
e6543004,0.0,0.0,0.0,1.0
e7052054,0.0,1.0,1.0,0.0
e31024,1.0,0.0,0.0,0.0
e31026,1.0,0.0,0.0,0.0
e7027190,0.0,1.0,0.0,0.0
e7132498,1.0,0.0,1.0,1.0
e6575588,0.0,1.0,1.0,0.0
e6534040,0.0,0.0,1.0,0.0
e6556874,0.0,0.0,1.0,0.0
e6907060,1.0,0.0,0.0,1.0
e6495648,0.0,0.0,0.0,1.0
e6579498,0.0,0.0,0.0,1.0
e111274,0.0,1.0,0.0,1.0
e7121750,1.0,1.0,1.0,0.0
e6814204,0.0,0.0,0.0,1.0
e67990,0.0,0.0,0.0,1.0
e7099866,0.0,1.0,1.0,1.0
e6669172,0.0,0.0,0.0,1.0
e6890096,0.0,1.0,1.0,0.0
e7097072,1.0,1.0,1.0,1.0
e31498,1.0,0.0,0.0,0.0
e31500,1.0,0.0,0.0,0.0
e7104402,1.0,0.0,0.0,0.0
e6109944,0.0,0.0,1.0,1.0
e6453780,0.0,0.0,0.0,1.0
e7131462,1.0,1.0,1.0,1.0
e6863178,1.0,1.0,0.0,0.0
e112740,0.0,1.0,0.0,0.0
e6180310,1.0,0.0,0.0,0.0
e1932790,1.0,0.0,0.0,0.0
