,0,1,2,3,4
e6846508,0.0,0.0,0.0,1.0,0.0
e7121756,0.0,1.0,0.0,1.0,0.0
e18900,1.0,0.0,0.0,0.0,0.0
e7598202,1.0,1.0,0.0,1.0,1.0
e7635922,1.0,1.0,1.0,1.0,1.0
e7132658,1.0,0.0,0.0,1.0,0.0
e6378706,0.0,1.0,0.0,1.0,0.0
e6264928,0.0,0.0,1.0,0.0,0.0
e7077780,0.0,1.0,1.0,1.0,0.0
e6845088,0.0,0.0,0.0,1.0,0.0
e7640976,1.0,1.0,0.0,1.0,1.0
e6811550,0.0,1.0,0.0,0.0,0.0
e124222,0.0,0.0,0.0,0.0,1.0
e7628478,1.0,1.0,1.0,1.0,1.0
e6795620,0.0,0.0,0.0,0.0,1.0
e7479388,1.0,1.0,0.0,1.0,0.0
e7624158,1.0,1.0,0.0,0.0,1.0
e97336,0.0,1.0,1.0,1.0,0.0
e7492030,0.0,0.0,1.0,0.0,0.0
e7058900,1.0,0.0,0.0,0.0,0.0
e7501586,0.0,0.0,0.0,1.0,0.0
e7582876,0.0,1.0,1.0,1.0,0.0
e7582848,1.0,0.0,1.0,1.0,0.0
e7620104,1.0,0.0,0.0,1.0,0.0
e7259764,1.0,0.0,0.0,0.0,1.0
e7375198,0.0,1.0,0.0,1.0,0.0
e7207878,1.0,0.0,0.0,1.0,1.0
e7641156,1.0,1.0,1.0,1.0,1.0
e6450424,0.0,0.0,0.0,0.0,1.0
e124432,0.0,0.0,0.0,1.0,0.0
e7545494,0.0,1.0,1.0,1.0,0.0
e7635360,1.0,1.0,1.0,1.0,1.0
e6829134,0.0,0.0,0.0,1.0,0.0
e7548394,0.0,0.0,1.0,1.0,0.0
e7636298,1.0,1.0,1.0,1.0,1.0
e6635892,1.0,0.0,0.0,0.0,1.0
e7638116,1.0,1.0,1.0,1.0,1.0
e6285654,0.0,0.0,0.0,1.0,0.0
e7081596,0.0,0.0,1.0,0.0,0.0
e7618720,1.0,1.0,1.0,0.0,1.0
e7068858,0.0,0.0,1.0,1.0,0.0
e6646282,0.0,0.0,1.0,0.0,0.0
e7124848,1.0,1.0,0.0,1.0,1.0
e7550384,0.0,1.0,1.0,1.0,0.0
e7580236,1.0,0.0,0.0,0.0,1.0
e1886,0.0,1.0,0.0,0.0,0.0
e7636024,1.0,1.0,0.0,1.0,1.0
e7570618,1.0,1.0,0.0,0.0,0.0
e96664,1.0,0.0,0.0,0.0,0.0
e119206,0.0,0.0,1.0,1.0,0.0
e119210,0.0,0.0,1.0,0.0,0.0
e7056186,1.0,0.0,0.0,1.0,0.0
e7626366,0.0,1.0,1.0,1.0,1.0
e7590356,1.0,1.0,0.0,1.0,0.0
e7602120,1.0,1.0,1.0,1.0,1.0
e7614760,1.0,1.0,1.0,0.0,0.0
e7639916,1.0,1.0,1.0,1.0,1.0
e7204318,1.0,0.0,0.0,0.0,1.0
e7067416,1.0,0.0,0.0,1.0,0.0
e7619034,0.0,1.0,1.0,0.0,0.0
e6675536,0.0,0.0,1.0,0.0,0.0
e6639394,0.0,0.0,1.0,0.0,0.0
e6855172,0.0,1.0,0.0,0.0,0.0
e6869110,1.0,0.0,0.0,0.0,0.0
e6723916,1.0,0.0,0.0,0.0,0.0
e6567976,1.0,0.0,0.0,0.0,0.0
e7044880,1.0,0.0,0.0,1.0,0.0
e7507824,1.0,0.0,0.0,0.0,0.0
e7571166,0.0,0.0,1.0,1.0,0.0
e7639876,0.0,1.0,1.0,0.0,1.0
e7615828,0.0,0.0,0.0,0.0,1.0
e7477466,1.0,1.0,0.0,1.0,1.0
e6806948,1.0,0.0,0.0,0.0,0.0
e6866946,1.0,0.0,0.0,0.0,1.0
e7624762,0.0,1.0,0.0,1.0,0.0
e6840270,0.0,0.0,0.0,0.0,1.0
e7440856,0.0,1.0,1.0,1.0,0.0
e7640648,1.0,1.0,1.0,1.0,1.0
e6777236,0.0,1.0,1.0,1.0,0.0
e6804662,1.0,0.0,0.0,0.0,1.0
e7327378,1.0,0.0,0.0,0.0,1.0
e7249606,1.0,0.0,1.0,0.0,0.0
e7110942,0.0,0.0,0.0,1.0,0.0
e7371204,1.0,1.0,0.0,0.0,0.0
e6668436,0.0,0.0,0.0,1.0,0.0
e6297434,0.0,0.0,0.0,0.0,0.0
e7563940,0.0,1.0,0.0,1.0,1.0
e7616852,1.0,1.0,0.0,0.0,1.0
e6971832,1.0,0.0,0.0,0.0,1.0
e7573424,1.0,1.0,0.0,1.0,1.0
e6810972,0.0,0.0,0.0,0.0,1.0
e7506486,1.0,1.0,0.0,1.0,0.0
e7552480,1.0,1.0,0.0,1.0,1.0
e7502778,1.0,0.0,0.0,0.0,1.0
e7274656,0.0,0.0,1.0,0.0,0.0
e6781962,0.0,0.0,0.0,0.0,1.0
e27104,1.0,0.0,0.0,0.0,0.0
e7529928,0.0,1.0,1.0,0.0,1.0
e6697146,0.0,0.0,0.0,1.0,0.0
e7497672,1.0,0.0,0.0,0.0,0.0
e7345868,1.0,0.0,0.0,1.0,0.0
e6567958,0.0,1.0,0.0,0.0,0.0
e49658,0.0,1.0,0.0,0.0,0.0
e7556938,0.0,0.0,1.0,1.0,0.0
e6818996,0.0,0.0,1.0,0.0,0.0
e7364090,1.0,0.0,0.0,0.0,1.0
e6964386,1.0,1.0,0.0,0.0,1.0
e7390748,0.0,1.0,1.0,0.0,0.0
e7619706,0.0,0.0,0.0,0.0,1.0
e7619708,1.0,0.0,0.0,0.0,0.0
e121432,0.0,0.0,1.0,1.0,0.0
e7078640,0.0,0.0,1.0,1.0,0.0
e7440422,1.0,1.0,0.0,0.0,1.0
e86214,0.0,1.0,0.0,0.0,0.0
e7422848,1.0,0.0,0.0,0.0,1.0
e6296212,0.0,0.0,0.0,1.0,0.0
e6642824,1.0,0.0,0.0,0.0,0.0
e6793208,0.0,0.0,0.0,0.0,1.0
e7353648,1.0,0.0,1.0,0.0,1.0
e110802,0.0,0.0,1.0,0.0,1.0
e6735612,1.0,0.0,0.0,0.0,0.0
e6777272,1.0,0.0,0.0,0.0,1.0
e6710276,0.0,0.0,1.0,0.0,0.0
e6811598,0.0,1.0,0.0,0.0,0.0
e7098254,0.0,1.0,0.0,0.0,0.0
e7142162,0.0,0.0,0.0,1.0,1.0
e6182130,1.0,0.0,0.0,0.0,0.0
e7596292,1.0,0.0,0.0,1.0,1.0
e54298,0.0,0.0,1.0,0.0,0.0
e6583096,0.0,1.0,0.0,0.0,0.0
e91748,0.0,0.0,1.0,1.0,0.0
e6290234,0.0,0.0,0.0,0.0,1.0
e7435406,0.0,1.0,1.0,0.0,0.0
e6838486,0.0,1.0,1.0,0.0,1.0
e7632606,1.0,1.0,1.0,1.0,1.0
e7506230,1.0,0.0,0.0,0.0,1.0
e7515616,0.0,1.0,1.0,1.0,0.0
e6513678,1.0,0.0,0.0,0.0,0.0
e6683682,0.0,0.0,0.0,1.0,0.0
e6860458,0.0,0.0,0.0,1.0,0.0
e118398,0.0,0.0,1.0,1.0,0.0
e7485352,0.0,0.0,0.0,1.0,0.0
e6269762,0.0,0.0,0.0,1.0,0.0
e7589422,0.0,1.0,1.0,0.0,1.0
e7640226,1.0,1.0,0.0,1.0,1.0
e6177574,0.0,0.0,0.0,1.0,0.0
e7557532,1.0,0.0,0.0,1.0,0.0
e7615698,0.0,1.0,1.0,1.0,1.0
e7524676,1.0,0.0,0.0,0.0,1.0
e7625790,0.0,1.0,0.0,1.0,0.0
e7583344,1.0,1.0,1.0,1.0,1.0
e7637544,0.0,0.0,0.0,1.0,0.0
e7634570,1.0,1.0,1.0,1.0,1.0
e6704700,1.0,0.0,0.0,1.0,0.0
e7483212,0.0,0.0,1.0,0.0,0.0
e7513420,1.0,0.0,1.0,0.0,0.0
e6506618,0.0,0.0,1.0,0.0,0.0
e7636016,1.0,1.0,1.0,1.0,1.0
e6807326,0.0,1.0,0.0,0.0,0.0
e6884430,0.0,1.0,0.0,0.0,1.0
e7078190,0.0,0.0,1.0,1.0,0.0
e7170890,0.0,0.0,1.0,0.0,0.0
e6523842,1.0,0.0,0.0,0.0,0.0
e7637620,1.0,0.0,0.0,0.0,0.0
e7386304,1.0,0.0,0.0,1.0,1.0
e7620442,1.0,1.0,1.0,1.0,1.0
e7495196,0.0,0.0,1.0,1.0,0.0
e6278824,0.0,0.0,0.0,1.0,0.0
e6285278,0.0,0.0,1.0,0.0,0.0
e7054240,0.0,0.0,1.0,1.0,0.0
e7613386,1.0,1.0,1.0,1.0,1.0
e6818736,0.0,0.0,0.0,0.0,1.0
e7610974,0.0,1.0,1.0,1.0,0.0
e7636574,1.0,1.0,1.0,1.0,1.0
e7513716,0.0,1.0,0.0,1.0,0.0
e7632690,1.0,1.0,1.0,1.0,1.0
e6547536,0.0,0.0,0.0,0.0,1.0
e7325984,1.0,0.0,0.0,0.0,1.0
e7282962,1.0,0.0,0.0,0.0,1.0
e52068,0.0,0.0,1.0,0.0,0.0
e52070,1.0,0.0,0.0,0.0,1.0
e7410388,0.0,1.0,1.0,0.0,0.0
e7516766,0.0,1.0,0.0,0.0,0.0
e6248876,0.0,0.0,0.0,1.0,0.0
e6814530,0.0,0.0,0.0,1.0,0.0
e7641134,1.0,1.0,1.0,1.0,1.0
e6834278,0.0,0.0,1.0,0.0,0.0
e7593494,1.0,1.0,0.0,0.0,1.0
e6858838,0.0,0.0,0.0,0.0,1.0
e6878136,1.0,0.0,0.0,0.0,0.0
e7636258,1.0,1.0,1.0,1.0,1.0
e7637702,0.0,0.0,1.0,0.0,0.0
e7487466,0.0,0.0,0.0,1.0,0.0
e7513216,0.0,0.0,1.0,0.0,0.0
e7639642,1.0,0.0,0.0,1.0,1.0
e54788,0.0,0.0,1.0,0.0,0.0
e6558138,1.0,0.0,0.0,0.0,1.0
e122762,1.0,0.0,0.0,1.0,1.0
e85606,0.0,0.0,1.0,0.0,0.0
e85608,0.0,0.0,1.0,0.0,0.0
e85610,0.0,0.0,1.0,0.0,0.0
e6450362,0.0,1.0,1.0,0.0,0.0
e7433284,1.0,0.0,0.0,1.0,1.0
e36048,1.0,0.0,1.0,0.0,0.0
e36050,1.0,0.0,0.0,0.0,0.0
e7616754,1.0,0.0,0.0,0.0,0.0
e43582,1.0,0.0,0.0,0.0,0.0
e7499468,0.0,1.0,1.0,0.0,0.0
e7569574,1.0,0.0,0.0,1.0,1.0
e7565834,1.0,1.0,1.0,1.0,1.0
e6868494,0.0,1.0,1.0,0.0,0.0
e7142992,1.0,0.0,0.0,1.0,1.0
e7540922,0.0,1.0,1.0,1.0,1.0
e54078,1.0,0.0,0.0,0.0,0.0
e6582266,0.0,0.0,0.0,0.0,1.0
e66378,0.0,1.0,0.0,0.0,0.0
e6827352,0.0,0.0,1.0,1.0,0.0
e7299838,1.0,0.0,0.0,0.0,0.0
e7609964,1.0,1.0,1.0,1.0,1.0
e7035620,0.0,0.0,0.0,1.0,0.0
e6835934,0.0,0.0,0.0,1.0,0.0
e7246436,0.0,0.0,1.0,1.0,0.0
e6866356,0.0,0.0,0.0,1.0,0.0
e6863676,0.0,0.0,0.0,1.0,0.0
e7437740,0.0,1.0,0.0,0.0,0.0
e7627860,1.0,1.0,0.0,1.0,1.0
e7510974,0.0,0.0,0.0,0.0,1.0
e6657632,1.0,0.0,0.0,0.0,1.0
e7239576,0.0,1.0,0.0,1.0,1.0
e7052042,1.0,0.0,0.0,1.0,0.0
e7629016,0.0,1.0,0.0,0.0,1.0
e7278656,1.0,0.0,0.0,0.0,0.0
e6799876,0.0,0.0,0.0,0.0,1.0
e7488946,0.0,0.0,0.0,1.0,0.0
e7635202,1.0,1.0,0.0,1.0,1.0
e7496336,0.0,0.0,0.0,1.0,0.0
e7585340,1.0,1.0,1.0,0.0,1.0
e6794092,1.0,0.0,0.0,0.0,0.0
e7620968,1.0,0.0,0.0,1.0,0.0
e6251586,0.0,0.0,0.0,0.0,1.0
