name,strains_print,color
5576498+,s4,#b0b0b0
5576630+,s5,Lime
5577236+,s4,#b0b0b0
5578742+,s8,#b0b0b0
5579354+,s4,#b0b0b0
5579520+,s5,Teal
5579768+,s4,#b0b0b0
5580426+,s5,Teal
5580546+,s5,Teal
5581126+,"s5, s8",Teal
5581656+,s4,#b0b0b0
5581912+,Nobody,#b0b0b0
5583098+,s5,Teal
5583430+,s4,#b0b0b0
5583478+,s8,#b0b0b0
5583484+,s8,#b0b0b0
5583732+,s5,Teal
5584106+,s5,Teal
5584236+,s8,#b0b0b0
5585054+,s8,Yellow
5585862+,s8,#b0b0b0
5585870+,s5,Teal
5585880+,s5,Teal
5586746+,s4,#b0b0b0
5586762+,s5,Teal
5587152+,s4,#b0b0b0
5587176+,s5,Lime
5587320+,s4,#b0b0b0
5587488+,s5,Teal
558771643340+,"s4, s8",#b0b0b0
5588180+,s5,Teal
5588288+,"s5, s8",Teal
5588294+,s4,#b0b0b0
5588634+,s8(2),#b0b0b0
5588816+,s4,#b0b0b0
5589010+,s5(2),Navy
5589224+,s5,Teal
5589356+,s4,#b0b0b0
5591142+,s5,Teal
5591212+,"s4, s8",#b0b0b0
5591826+,s8,#b0b0b0
5592276+,s8,#b0b0b0
5592324+,s4,#b0b0b0
5592422+,s8,#b0b0b0
5592444+,s8,#b0b0b0
5592634+,s5,Teal
5593770+,"s4, s8",#b0b0b0
5593966+,"s4(2), s8",#b0b0b0
5594050+,s8,#b0b0b0
5594264+,s5,Teal
5594318+,s8,#b0b0b0
5594630+,s8,#b0b0b0
5595090+,s5,Teal
5595526+,s8,#b0b0b0
5595936+,s8,#b0b0b0
5596142+,"s4, s8",#b0b0b0
5596902+,s5,Teal
5596910+,s8,#b0b0b0
5597172+,s4,#b0b0b0
5597346+,s5,Teal
5597666+,s4,#b0b0b0
5597874+,s8,#b0b0b0
5598176+,s5,Lime
5598332+,s5,Lime
5598538+,s5,Lime
5598574+,s4,#b0b0b0
5598636+,s8,#b0b0b0
5598992+,"s4, s5",Teal
5599016+,s5,Teal
5599154+,s4,#b0b0b0
5599168+,Nobody,#b0b0b0
5599688+,s4,#b0b0b0
5600014+,"s4, s8",#b0b0b0
5600074+,s5,Teal
5600102+,s4,#b0b0b0
5600312+,s4,#b0b0b0
5600858+,s8,#b0b0b0
5601086+,s5,Lime
5601302+,s5,Teal
5601434+,"s4, s8",#b0b0b0
5601646+,s5,Lime
5601714+,s4,#b0b0b0
5601824+,s5,Lime
5601922+,s8,#b0b0b0
5602054+,s5,Teal
5602532+,Nobody,#b0b0b0
5602676+,s8,#b0b0b0
5602826+,s8,#b0b0b0
5602930+,"s4, s5, s8",Teal
5602972+,s8,#b0b0b0
5603170+,"s4, s8",#b0b0b0
5603402+,s4,#b0b0b0
5603416+,s8,#b0b0b0
5603652+,"s4, s5, s8",Teal
5603766+,s8,#b0b0b0
5603824+,s5(3),Navy
5603938+,"s4, s5, s8",Teal
5603952+,s8,#b0b0b0
5604090+,s4,#b0b0b0
5604362+,"s4, s8",#b0b0b0
5604440+,s4,#b0b0b0
5604494+,"s4, s8",#b0b0b0
5604506+,s8,#b0b0b0
5604552+,s5,Lime
5604710+,s4(4),#b0b0b0
5604938+,s5,Teal
5605302+,s8,#b0b0b0
5605660+,s8,#b0b0b0
5605942+,s8,#b0b0b0
5606018+,s5,Teal
5606190+,s5,Lime
5606398+,s4,#b0b0b0
5606580+,s5(3),Navy
5606768+,Nobody,#b0b0b0
5606860+,s4,#b0b0b0
5607098+,s4,#b0b0b0
5607306+,s5,Teal
5607364+,Nobody,#b0b0b0
5607504+,s4,#b0b0b0
5607546+,s5,Teal
5607690+,s8,#b0b0b0
5607760+,s5,Lime
5607778+,s8,#b0b0b0
5607938+,s8,#b0b0b0
5608232+,s8,#b0b0b0
5608404+,Nobody,#b0b0b0
5608442+,s5,Teal
5608582+,s4,#b0b0b0
5608838+,s4,#b0b0b0
5608876+,"s4, s5, s8",Teal
5608912+,s4,#b0b0b0
5608956+,s8,#b0b0b0
5609052+,s4,#b0b0b0
5609282+,s5,Teal
5609292+,s4,#b0b0b0
56095761412376+,s8,#b0b0b0
5609800+,s5,Lime
5610032+,s4,#b0b0b0
5610180+,s4,#b0b0b0
5610270+,s5,Teal
5610550+,s4,#b0b0b0
5610590+,s5,Teal
5610860+,s5,Lime
5610986+,"s4, s8",#b0b0b0
5611038+,s5,Lime
5611198+,s5,Lime
5611224+,s4,#b0b0b0
5611246+,s4,#b0b0b0
56114341532812+,s5,Teal
5611592+,s5,Lime
5612202+,s8,#b0b0b0
5612414+,s8,#b0b0b0
5612520+,s4,#b0b0b0
5612586+,s8,#b0b0b0
5612636+,s5,Teal
5612664+,s8,#b0b0b0
5612684+,s8,#b0b0b0
5612694+,s5,Lime
5612772+,s4,#b0b0b0
5612788+,"s5, s8",Teal
5612832+,s5,Lime
5612846+,"s4, s8",#b0b0b0
5612854+,s5,Teal
5613014+,s4(2),#b0b0b0
5613072+,s8,#b0b0b0
5613246+,s8,#b0b0b0
5613508+,s4(4),#b0b0b0
5613946+,s5,Teal
5614036+,s8,#b0b0b0
5614398+,s4,#b0b0b0
5614636+,"s4, s5, s8",Teal
5614688+,s5,Teal
5614724+,s5,Lime
5614752+,"s4, s5, s8",Teal
5614936+,s5,Teal
5614952+,s5,Lime
5615120+,s5,Lime
5615188+,s5,Lime
5615270+,s4,#b0b0b0
5615280+,s5,Lime
5615488+,s5,Lime
5615634+,s4,#b0b0b0
5615662+,s5,Lime
5616784+,s4,#b0b0b0
5616972+,s4,#b0b0b0
56170621152434+,"s4, s8",#b0b0b0
5617106+,s4(2),#b0b0b0
5617128+,s8,#b0b0b0
5617262+,s8,Yellow
5617342+,s8,#b0b0b0
5617362+,s8,#b0b0b0
56175141152708+,s4,#b0b0b0
5617792+,s5,Lime
5617810+,s4,#b0b0b0
5617912+,s5,Lime
5617966+,s8,#b0b0b0
5618016+,s5,Teal
5618086+,s5,Teal
5618202+,"s4, s5, s8",Teal
5618262+,s8,#b0b0b0
5618320+,s5,Lime
5618370+,s5,Lime
5618902+,s5,Lime
5619172+,s8,#b0b0b0
5619926+,s5,Teal
5619994+,"s5, s8",Teal
5620074+,s8,#b0b0b0
5620092+,s4,#b0b0b0
5620176+,s5,Teal
5620426+,s8,#b0b0b0
5620568+,s4,#b0b0b0
5620598+,s8,#b0b0b0
5620692+,"s4, s5, s8",Teal
5620696+,s4,#b0b0b0
5620836+,"s4(2), s5",Green
5621066+,s5,Lime
5621176+,s4,#b0b0b0
5621310+,s5,Teal
5621358+,s4,#b0b0b0
5621424+,s4,#b0b0b0
5621568+,s5,Lime
5621574+,s5,Lime
5621650+,s4,#b0b0b0
5621834+,s8,#b0b0b0
5621980+,s4,#b0b0b0
5622078+,s5,Teal
5622122+,s5,Teal
5622452+,s8,#b0b0b0
5622542+,s8,#b0b0b0
5622544+,s4,#b0b0b0
