,0,1,2
e5884248,0.0,1.0,0.0
e5927174,1.0,1.0,1.0
e5677298,1.0,0.0,0.0
e5907734,0.0,1.0,1.0
e5878268,0.0,0.0,1.0
e5954562,1.0,1.0,1.0
e5884462,1.0,0.0,0.0
e5914334,0.0,1.0,1.0
e5785818,0.0,1.0,1.0
e5935154,0.0,1.0,0.0
e5101610,0.0,0.0,0.0
e5950002,1.0,1.0,1.0
e5878400,0.0,1.0,1.0
e5890524,1.0,0.0,0.0
e5858992,1.0,1.0,1.0
e5619926,1.0,0.0,0.0
e5883264,1.0,0.0,0.0
e5943542,0.0,1.0,1.0
e5950196,1.0,1.0,1.0
e5081756,0.0,0.0,0.0
e5895848,1.0,0.0,1.0
e5951194,1.0,1.0,1.0
e5883842,1.0,0.0,0.0
e173530,1.0,0.0,0.0
e173532,1.0,0.0,0.0
e5939188,1.0,0.0,0.0
e5950184,1.0,1.0,0.0
e5955592,1.0,1.0,1.0
e5592276,0.0,0.0,1.0
e5162212,0.0,1.0,1.0
e5886080,1.0,1.0,1.0
e5947634,1.0,1.0,1.0
e5934138,0.0,1.0,1.0
e5938632,1.0,0.0,0.0
e5899202,1.0,0.0,0.0
e5907984,0.0,1.0,1.0
e5850838,1.0,1.0,1.0
e5903754,0.0,1.0,1.0
e5649304,0.0,1.0,0.0
e5882138,0.0,1.0,0.0
e115434,0.0,1.0,0.0
e5414738,1.0,0.0,0.0
e5953324,1.0,0.0,1.0
e157982,1.0,0.0,0.0
e5917202,1.0,0.0,1.0
e5612772,0.0,1.0,0.0
e5884040,0.0,1.0,1.0
e5889886,1.0,0.0,0.0
e184240,1.0,0.0,0.0
e5636032,0.0,0.0,1.0
e5800630,1.0,1.0,0.0
e5890924,1.0,0.0,0.0
e5372020,1.0,0.0,0.0
e5949096,1.0,1.0,1.0
e5906856,0.0,1.0,1.0
e5945166,1.0,1.0,1.0
e163480,1.0,0.0,0.0
e163482,0.0,1.0,1.0
e5415754,0.0,1.0,0.0
e5630946,0.0,1.0,1.0
e5640260,0.0,1.0,1.0
e5657494,0.0,0.0,1.0
e5587320,0.0,1.0,0.0
e5917294,0.0,1.0,1.0
e5530744,0.0,0.0,0.0
e155626,0.0,1.0,0.0
e5623434,1.0,0.0,0.0
e5792114,0.0,1.0,1.0
e5929124,1.0,1.0,1.0
e5886810,1.0,0.0,0.0
e5889386,0.0,1.0,1.0
e5944218,1.0,0.0,1.0
e5939166,0.0,0.0,1.0
e201050,0.0,1.0,1.0
e177598,1.0,0.0,0.0
e5515670,0.0,1.0,1.0
e5925440,1.0,1.0,1.0
e5943560,1.0,0.0,1.0
e5876176,1.0,0.0,0.0
e5899646,0.0,1.0,1.0
e5806596,0.0,1.0,1.0
e124608,0.0,0.0,0.0
e5836106,1.0,1.0,1.0
e5897236,0.0,1.0,1.0
e5812952,0.0,1.0,1.0
e151230,0.0,0.0,0.0
e5954354,1.0,1.0,1.0
e5935662,0.0,0.0,1.0
e5889392,0.0,1.0,1.0
e170178,1.0,0.0,1.0
e5441374,0.0,1.0,0.0
e5941230,1.0,1.0,0.0
e5470266,1.0,0.0,0.0
e5926364,1.0,1.0,1.0
e5600312,0.0,1.0,0.0
e5522220,1.0,1.0,0.0
e5927858,1.0,1.0,1.0
e5893706,0.0,0.0,1.0
e5929666,1.0,1.0,0.0
e5811358,0.0,1.0,1.0
e5631410,1.0,0.0,0.0
e5945636,1.0,1.0,1.0
e5907152,0.0,1.0,1.0
e5691482,1.0,1.0,0.0
e5889186,1.0,0.0,0.0
e5905318,0.0,1.0,1.0
e5800542,0.0,1.0,0.0
e5691932,1.0,0.0,0.0
e5573778,1.0,0.0,0.0
e5903254,0.0,1.0,1.0
e4977374,1.0,0.0,0.0
e5865950,1.0,1.0,1.0
e5924836,1.0,1.0,1.0
e5878862,1.0,0.0,0.0
e5954486,0.0,1.0,1.0
e5895372,0.0,0.0,1.0
e5955242,1.0,1.0,1.0
e5945900,0.0,1.0,1.0
e4977172,0.0,1.0,0.0
e5761058,1.0,0.0,0.0
e5877904,1.0,0.0,0.0
e5730888,0.0,1.0,1.0
e5598574,0.0,1.0,0.0
e5589224,1.0,0.0,0.0
e5922772,0.0,1.0,1.0
e5954592,1.0,1.0,1.0
e129606,0.0,1.0,0.0
e5455968,0.0,0.0,0.0
e5887696,1.0,0.0,0.0
e5867524,0.0,1.0,1.0
e5157714,1.0,0.0,0.0
e5735656,0.0,1.0,1.0
e5926120,1.0,1.0,1.0
e5954692,1.0,1.0,1.0
e5493152,0.0,1.0,0.0
e5618086,1.0,0.0,0.0
e5862176,1.0,1.0,0.0
e5943580,1.0,1.0,1.0
e5873688,1.0,0.0,0.0
e5917332,0.0,1.0,1.0
e5707496,0.0,1.0,1.0
e5487900,0.0,0.0,0.0
e5909864,1.0,0.0,1.0
e5704290,0.0,0.0,1.0
e5762266,0.0,1.0,1.0
e5620176,1.0,0.0,0.0
e5917296,0.0,1.0,1.0
e5953512,1.0,1.0,1.0
e292470,0.0,0.0,1.0
e5886414,0.0,0.0,1.0
e5893262,0.0,0.0,1.0
e5887674,0.0,0.0,1.0
e5916152,1.0,1.0,0.0
e5445184,0.0,1.0,0.0
e5875236,1.0,0.0,0.0
e5889808,1.0,0.0,0.0
e5073316,0.0,0.0,0.0
e5637938,0.0,0.0,1.0
e5376586,0.0,1.0,1.0
e5938298,1.0,0.0,0.0
e5955146,1.0,1.0,1.0
e5948060,1.0,1.0,1.0
e5435364,0.0,0.0,0.0
e5857156,1.0,1.0,1.0
e5118108,0.0,0.0,0.0
e273934,1.0,1.0,0.0
e5663780,1.0,0.0,0.0
e5206754,1.0,0.0,0.0
e5703172,1.0,0.0,0.0
e4994596,1.0,0.0,0.0
e5329508,1.0,0.0,0.0
e5949956,1.0,1.0,1.0
e5891270,0.0,0.0,1.0
e5058906,0.0,0.0,0.0
e5946374,1.0,1.0,1.0
e5891906,0.0,1.0,0.0
e5942488,1.0,1.0,1.0
e5884604,1.0,0.0,0.0
e5905536,0.0,1.0,1.0
e5885686,1.0,0.0,0.0
e5908648,0.0,1.0,1.0
e5936528,1.0,0.0,0.0
e5936532,0.0,1.0,1.0
e5949732,1.0,1.0,1.0
e5883762,0.0,0.0,1.0
e5892902,0.0,1.0,0.0
e218176,0.0,1.0,0.0
e5884018,0.0,1.0,0.0
e5731754,0.0,1.0,1.0
e5943808,0.0,1.0,1.0
e5920894,1.0,1.0,1.0
e5887532,0.0,0.0,1.0
e5948334,1.0,1.0,0.0
e5889982,1.0,0.0,0.0
e5954228,0.0,1.0,1.0
e5948250,1.0,1.0,1.0
e5950008,1.0,1.0,1.0
e5821762,1.0,0.0,1.0
e5883184,0.0,1.0,0.0
e5885524,0.0,0.0,1.0
e5905992,0.0,1.0,1.0
e5888600,0.0,1.0,1.0
e5900842,1.0,0.0,0.0
e5948836,1.0,1.0,1.0
e5826872,1.0,0.0,1.0
e5688082,1.0,0.0,0.0
e5955634,1.0,1.0,1.0
e5878084,0.0,0.0,1.0
e5891356,1.0,1.0,0.0
e5775648,0.0,0.0,1.0
e5930398,1.0,0.0,0.0
e5950304,1.0,1.0,1.0
e265872,0.0,1.0,1.0
e5911230,0.0,1.0,1.0
e5886064,0.0,0.0,1.0
e5951588,1.0,1.0,1.0
e5953832,1.0,1.0,1.0
e5641260,1.0,0.0,0.0
e5835990,1.0,0.0,0.0
e5641288,0.0,1.0,0.0
e5587176,1.0,0.0,0.0
e5908198,0.0,1.0,1.0
e5954568,1.0,1.0,1.0
e5944882,1.0,1.0,1.0
e5937240,1.0,0.0,0.0
e5941742,0.0,1.0,1.0
e278658,0.0,1.0,0.0
e5883320,0.0,0.0,1.0
e5954146,1.0,1.0,1.0
e5700834,1.0,0.0,1.0
e5689524,1.0,0.0,0.0
e5952956,0.0,1.0,1.0
e5052960,1.0,0.0,0.0
e5932508,1.0,0.0,0.0
e5947628,0.0,1.0,1.0
e302528,1.0,1.0,0.0
e5467732,1.0,0.0,0.0
e5934384,0.0,1.0,0.0
e5949568,1.0,1.0,1.0
e5593770,0.0,1.0,1.0
e5898950,1.0,0.0,0.0
e5888434,1.0,1.0,1.0
e5888308,1.0,1.0,1.0
e5919840,1.0,1.0,1.0
e5617062,0.0,1.0,1.0
e5103844,0.0,0.0,0.0
e5941756,1.0,1.0,1.0
e5833482,1.0,0.0,0.0
e5955224,1.0,1.0,1.0
e5907386,1.0,1.0,1.0
e5934402,0.0,0.0,1.0
e5937386,1.0,1.0,1.0
e5836242,0.0,1.0,1.0
e5870356,1.0,0.0,0.0
e5950776,1.0,1.0,1.0
e5888660,1.0,0.0,0.0
e5882208,1.0,0.0,0.0
e5205662,0.0,1.0,1.0
e5382038,1.0,0.0,0.0
e5953992,1.0,1.0,1.0
e5510872,0.0,1.0,0.0
e5891938,1.0,0.0,0.0
e5952230,1.0,1.0,1.0
e239062,0.0,1.0,0.0
e291080,0.0,1.0,1.0
e5916720,1.0,1.0,1.0
e5933094,1.0,1.0,1.0
e5937378,0.0,0.0,1.0
e5925836,1.0,1.0,1.0
e5777950,0.0,1.0,1.0
e263534,1.0,0.0,0.0
e5908218,0.0,1.0,1.0
e5950602,1.0,1.0,1.0
e263548,0.0,1.0,0.0
e5945790,0.0,1.0,1.0
e5633220,1.0,0.0,0.0
e5922316,0.0,1.0,1.0
e5950230,1.0,1.0,1.0
e5904498,0.0,1.0,1.0
e5883510,0.0,0.0,1.0
