name,strains_print,color
4691691,nobody,#b0b0b0
4691819,nobody,#b0b0b0
4691822,nobody,#b0b0b0
4692214,nobody,#b0b0b0
4693360,nobody,#b0b0b0
4694480,s5,Lime
4695274,nobody,#b0b0b0
4695870,nobody,#b0b0b0
4695988,nobody,#b0b0b0
4697916,nobody,#b0b0b0
4698722,nobody,#b0b0b0
4699242,nobody,#b0b0b0
4699448,nobody,#b0b0b0
4699458,nobody,#b0b0b0
4699718,nobody,#b0b0b0
4700478,nobody,#b0b0b0
4700588,s7,#b0b0b0
4700954,nobody,#b0b0b0
4701834,nobody,#b0b0b0
4706314,nobody,#b0b0b0
4709166,s7,#b0b0b0
4709432,nobody,#b0b0b0
4709464,nobody,#b0b0b0
4709546,nobody,#b0b0b0
4709744,nobody,#b0b0b0
4709746,nobody,#b0b0b0
4709784,nobody,#b0b0b0
4709902,nobody,#b0b0b0
4710466,nobody,Yellow
4710810,nobody,#b0b0b0
4710836,nobody,#b0b0b0
4710962,nobody,#b0b0b0
4711564,nobody,#b0b0b0
4711570,s7,#b0b0b0
4711762,nobody,#b0b0b0
4713604,nobody,#b0b0b0
4714708,nobody,#b0b0b0
4717610,"s7, s5",Lime
4721530,s7,#b0b0b0
4727608,s7,#b0b0b0
4729882,s5,Lime
4731444,s7,#b0b0b0
4734636,nobody,#b0b0b0
4737194,s7,#b0b0b0
4737928,s7,#b0b0b0
4738824,s7,#b0b0b0
4756406,"s7, s5",Lime
4766200,nobody,#b0b0b0
4770830,nobody,#b0b0b0
4777566,nobody,#b0b0b0
4781760,nobody,#b0b0b0
4783178,"s7, s5(2)",Green
4783818,nobody,#b0b0b0
4784096,nobody,#b0b0b0
4784392,s7,#b0b0b0
4784612,nobody,#b0b0b0
4786600,s5,Lime
4787658,"s9, s5",Lime
4790036,nobody,#b0b0b0
4793502,nobody,#b0b0b0
4796452,nobody,#b0b0b0
4808796,s9,#b0b0b0
4809440,s9,#b0b0b0
4809726,"s7, s9(2)",#b0b0b0
4809756,s9,#b0b0b0
4811884,s7,#b0b0b0
4814826,s9,#b0b0b0
4817054,s9(2),#b0b0b0
4820394,s9,#b0b0b0
4820444,"s7, s5",Lime
4823474,"s7, s5",Teal
4823610,s9,#b0b0b0
4824218,nobody,#b0b0b0
4825916,s5,Lime
4826960,"s7, s9",#b0b0b0
4829892,"s7(2), s9(5), s5",Green
4829986,nobody,#b0b0b0
4830776,nobody,#b0b0b0
4833160,s7,#b0b0b0
4833792,nobody,#b0b0b0
4834668,"s7, s9",#b0b0b0
4837578,s7,#b0b0b0
4839184,nobody,#b0b0b0
4841100,s7,#b0b0b0
4842422,nobody,#b0b0b0
4843088,nobody,#b0b0b0
4843454,nobody,#b0b0b0
4848854,"s7, s5",Lime
4851222,nobody,#b0b0b0
4854602,s7,#b0b0b0
4855528,nobody,#b0b0b0
4855764,nobody,#b0b0b0
4856894,nobody,#b0b0b0
4859090,s7,#b0b0b0
4862632,nobody,#b0b0b0
4863020,s9(2),#b0b0b0
4865236,"s7, s5",Lime
4866254,nobody,#b0b0b0
4869950,nobody,#b0b0b0
4871022,"s7, s9",#b0b0b0
4872410,nobody,#b0b0b0
4874958,nobody,#b0b0b0
4876212,nobody,#b0b0b0
4876780,nobody,#b0b0b0
4877314,"s7, s9, s5",Lime
4878342,nobody,#b0b0b0
4879836,"s7, s9",#b0b0b0
4882362,s7,#b0b0b0
4885164,nobody,#b0b0b0
4888858,"s7, s9(2)",#b0b0b0
4891542,"s7, s5",Lime
4891934,"s7, s9",#b0b0b0
4892748,s7(3),#b0b0b0
